Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LYQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LYQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LYQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LYQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Cropland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Bareland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Cropland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Built-up
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
273,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
274,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Water
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Forest
290,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,NULL
291,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
