Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
115,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
119,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
148,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
149,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
150,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
151,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Water
152,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,NULL
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Water
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,NULL
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
323,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
