Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Bareland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Cropland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
322,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
323,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
325,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
326,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
327,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
