Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
