Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
21,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
22,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
