Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTD_M_R
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
35,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
37,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
40,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
41,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
42,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
43,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
44,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
45,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
46,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
52,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
53,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
54,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
55,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
56,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
57,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
58,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
59,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
60,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
61,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
62,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
63,NULL,NULL,Water,Water,Water,NULL,NULL,Water
64,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
71,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
73,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
76,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
79,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
88,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
89,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
90,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
91,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
93,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
94,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
95,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
99,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
100,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
101,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
102,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
103,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
104,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
105,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
107,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
110,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
112,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
114,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
116,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
117,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
119,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
120,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
122,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
123,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
124,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
125,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
126,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
127,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
128,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
129,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
130,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
131,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
132,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
133,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
134,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
135,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
138,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
140,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
142,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
143,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
145,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
147,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
162,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
166,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
171,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
172,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
174,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
175,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
176,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
177,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
178,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
179,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
180,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
181,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
182,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
183,NULL,Water,Water,NULL,Water,NULL,NULL,Water
184,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
185,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
186,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
187,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
188,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
189,NULL,Water,Water,Water,Water,NULL,NULL,Water
190,NULL,Water,Water,Water,Water,NULL,NULL,Forest
191,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
194,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
196,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
197,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
199,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
204,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
205,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
207,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
208,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
209,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
210,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
211,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
212,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
213,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
214,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
215,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
216,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
217,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
218,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
221,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
223,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
225,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
227,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
228,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
229,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
230,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
231,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
232,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
233,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
234,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
235,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
236,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
237,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
239,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
240,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
241,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
242,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
243,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
244,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
245,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
246,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
248,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
250,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
251,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
253,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
254,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
255,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
256,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
257,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
258,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
259,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
260,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
262,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
263,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
264,Grassland,NULL,Water,Water,Water,NULL,NULL,NULL
265,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
266,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
267,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
268,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
269,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
271,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
272,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
273,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
274,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
275,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
276,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
277,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
278,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
279,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
281,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
282,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
283,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
284,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
285,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
286,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
287,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
288,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
290,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
291,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
292,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
293,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
294,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
295,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
296,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
298,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
299,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
301,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
303,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
304,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
305,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
306,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
307,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
308,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
309,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
310,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
312,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
313,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
314,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
315,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
316,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
318,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
319,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
320,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
322,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
323,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
324,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
325,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
326,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
327,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
328,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
329,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
330,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
331,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
332,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
333,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
334,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
335,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
336,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
337,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
338,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
339,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
340,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
341,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
