Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Built-up
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
198,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
199,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Water
200,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Wetland
201,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
202,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
203,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
204,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
205,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
206,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
207,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
208,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,NULL
209,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Wetland
210,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,NULL
211,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
213,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
214,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
215,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
216,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
218,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
221,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
