Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
139,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
140,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
225,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
228,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
230,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
231,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
232,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
233,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
234,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
236,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
239,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
241,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
244,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
247,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
249,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
251,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Cropland
252,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
253,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
255,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
256,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
257,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
258,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
