Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MET_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MET_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MET_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MET_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MET_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
