Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
160,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
161,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
162,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
163,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
164,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
165,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
166,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
167,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
168,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
