Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
46,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,NULL
47,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
51,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
52,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
53,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
54,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
55,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
56,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
57,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
58,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
59,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
60,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,NULL
61,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,NULL
62,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,NULL
63,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
64,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
