Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
