Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Bareland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
99,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
101,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
102,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Built-up
103,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
104,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
105,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Bareland
106,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
107,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
108,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
110,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
111,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
112,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
113,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
114,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Water
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Built-up
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Bareland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Built-up
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Built-up
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
255,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
258,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
259,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
260,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
261,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
262,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Built-up
263,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
264,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
265,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
266,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
267,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
269,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
271,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
272,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Built-up
274,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
275,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
276,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
278,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
279,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
280,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
281,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Forest
282,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Grassland,Grassland
283,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
284,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
286,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
289,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
290,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
295,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
322,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
