Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Shrubland,Bareland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Grassland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,Wetland
64,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
66,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Grassland
67,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
69,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
