Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
24,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
26,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
27,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
28,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
29,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
30,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
