Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
