Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
13,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
16,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
19,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
22,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
23,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
24,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
25,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
26,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
27,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
31,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
32,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
33,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
34,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
35,NULL,NULL,Water,Water,Water,NULL,NULL,Water
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
41,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
45,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
46,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
47,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
48,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
49,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
50,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
51,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
53,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
54,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
55,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
56,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
58,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
60,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
68,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
76,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
77,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
78,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
