Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
111,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
114,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
127,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
129,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Wetland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Wetland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Water,Wetland
293,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
294,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
305,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
306,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
308,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
309,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
310,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
311,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
312,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
313,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
314,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
315,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
316,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
317,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
319,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
320,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
321,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
322,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
323,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
