Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
85,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
86,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
89,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
90,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
91,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
93,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
94,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
96,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
97,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
98,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Grassland
99,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
