Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
24,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
26,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
48,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
50,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
51,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
52,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
53,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
58,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
61,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
63,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
65,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
66,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
67,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
68,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
69,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
70,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
72,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
74,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
76,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
77,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
78,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
79,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
80,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
81,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
82,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
83,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
84,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
85,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
87,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
88,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
90,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
91,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
92,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
93,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
94,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
95,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
96,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
97,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
100,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
101,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
102,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
