Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
24,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
26,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
61,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
64,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
66,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
77,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Built-up
81,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
