Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
27,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
