Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
18,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
