Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
