Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
7,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
9,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
10,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
12,NULL,NULL,Wetland,NULL,Wetland,NULL
13,NULL,NULL,Wetland,NULL,Wetland,Grassland
14,NULL,NULL,Wetland,NULL,Wetland,Wetland
15,NULL,NULL,Wetland,NULL,Wetland,Water
16,NULL,NULL,Wetland,NULL,Wetland,Forest
17,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
18,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
19,NULL,NULL,Forest,NULL,Non_Wetland,NULL
20,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
21,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
22,NULL,NULL,Forest,NULL,Non_Wetland,Water
23,NULL,NULL,Forest,NULL,Non_Wetland,Forest
24,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Forest,Water,Non_Wetland,Forest
26,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
27,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
28,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
29,NULL,Wetland,Wetland,NULL,Wetland,NULL
30,NULL,Wetland,Wetland,NULL,Wetland,Grassland
31,NULL,Wetland,Wetland,NULL,Wetland,Water
32,NULL,Wetland,Wetland,NULL,Wetland,Forest
33,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
34,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
35,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
36,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
37,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
38,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
39,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
40,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
41,NULL,Bareland,Water,Water,Water,Forest
42,NULL,Bareland,Forest,NULL,Non_Wetland,Water
43,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
44,NULL,Bareland,Forest,Water,Non_Wetland,Forest
45,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
46,NULL,Built-up,NULL,NULL,Non_Wetland,Water
47,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
48,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
49,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
50,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
51,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
52,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
53,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
54,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
55,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
56,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
57,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
58,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
59,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
60,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
61,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
62,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
63,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
64,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
65,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
66,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
67,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
68,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
69,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
70,NULL,Built-up,Wetland,NULL,Wetland,Grassland
71,NULL,Built-up,Wetland,NULL,Wetland,Built-up
72,NULL,Built-up,Wetland,NULL,Wetland,Water
73,NULL,Built-up,Wetland,NULL,Wetland,Forest
74,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
75,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
76,NULL,Built-up,Wetland,Water,Wetland,Grassland
77,NULL,Built-up,Wetland,Water,Wetland,Water
78,NULL,Built-up,Wetland,Water,Wetland,Forest
79,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
80,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
81,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
82,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
83,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
84,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
85,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
87,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
88,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
89,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
90,NULL,Built-up,Water,NULL,Water,Grassland
91,NULL,Built-up,Water,NULL,Water,Built-up
92,NULL,Built-up,Water,NULL,Water,Water
93,NULL,Built-up,Water,NULL,Water,Forest
94,NULL,Built-up,Water,Non_Water,Water,Water
95,NULL,Built-up,Water,Non_Water,Water,Forest
96,NULL,Built-up,Water,Water,Water,Grassland
97,NULL,Built-up,Water,Water,Water,Water
98,NULL,Built-up,Water,Water,Water,Forest
99,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
100,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
101,NULL,Built-up,Forest,NULL,Non_Wetland,Water
102,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
103,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
104,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
105,NULL,Built-up,Forest,Water,Non_Wetland,Water
106,NULL,Built-up,Forest,Water,Non_Wetland,Forest
107,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
108,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
109,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
110,NULL,Water,Grassland,NULL,Non_Wetland,Forest
111,NULL,Water,Wetland,NULL,Wetland,Water
112,NULL,Water,Wetland,NULL,Wetland,Forest
113,NULL,Water,Wetland,Water,Wetland,Forest
114,NULL,Water,Bareland,Water,Non_Wetland,Grassland
115,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
116,NULL,Water,Water,NULL,Water,Water
117,NULL,Water,Water,Non_Water,Water,Water
118,NULL,Water,Water,Water,Water,Water
119,NULL,Water,Water,Water,Water,Forest
120,NULL,Water,Forest,NULL,Non_Wetland,Grassland
121,NULL,Water,Forest,NULL,Non_Wetland,Forest
122,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
123,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
124,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
125,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
126,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
127,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
128,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
129,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
130,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
131,NULL,Forest,Wetland,NULL,Wetland,NULL
132,NULL,Forest,Wetland,NULL,Wetland,Grassland
133,NULL,Forest,Wetland,NULL,Wetland,Forest
134,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
135,NULL,Forest,Water,Water,Water,Forest
136,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
137,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
138,NULL,Forest,Forest,NULL,Non_Wetland,Forest
139,NULL,Forest,Forest,Water,Non_Wetland,Forest
140,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
141,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
142,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
143,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
144,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
145,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
146,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
147,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
148,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
149,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
150,Grassland,NULL,Wetland,NULL,Wetland,Grassland
151,Grassland,NULL,Wetland,NULL,Wetland,Wetland
152,Grassland,NULL,Wetland,NULL,Wetland,Forest
153,Grassland,NULL,Water,Water,Water,Grassland
154,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
155,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
156,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
157,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
158,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
159,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
160,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
161,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
162,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
163,Grassland,Wetland,Water,NULL,Water,Grassland
164,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
165,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
166,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
167,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
168,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
169,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
170,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
171,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
172,Grassland,Water,Wetland,NULL,Wetland,Grassland
173,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
174,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
175,Grassland,Water,Forest,NULL,Non_Wetland,Forest
176,Grassland,Water,Forest,Water,Non_Wetland,Grassland
177,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
178,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
179,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
180,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
181,Grassland,Forest,Wetland,NULL,Wetland,Grassland
182,Grassland,Forest,Water,Water,Water,Forest
183,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
184,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
185,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
186,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
187,Cropland,NULL,Wetland,NULL,Wetland,Forest
188,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
189,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
190,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
191,Cropland,Wetland,Water,Non_Water,Water,Built-up
192,Cropland,Bareland,Water,Water,Water,Water
193,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
194,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
195,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
196,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
197,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
198,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
199,Cropland,Water,Water,Water,Water,Water
200,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
201,Cropland,Water,Forest,NULL,Non_Wetland,Water
202,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
203,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
204,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
205,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
206,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
207,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
208,Wetland,NULL,Wetland,NULL,Wetland,Grassland
209,Wetland,NULL,Wetland,NULL,Wetland,Wetland
210,Wetland,NULL,Wetland,NULL,Wetland,Forest
211,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
212,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
213,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
214,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
215,Wetland,Wetland,Wetland,NULL,Wetland,NULL
216,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
217,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
218,Wetland,Wetland,Wetland,NULL,Wetland,Water
219,Wetland,Wetland,Wetland,NULL,Wetland,Forest
220,Wetland,Wetland,Water,NULL,Water,Forest
221,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
222,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
223,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
224,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
225,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
226,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
227,Wetland,Water,Forest,Water,Non_Wetland,Forest
228,Wetland,Forest,Wetland,NULL,Wetland,Forest
229,Bareland,Water,Wetland,Water,Wetland,Water
230,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
231,Water,NULL,Wetland,Non_Water,Wetland,Grassland
232,Water,NULL,Wetland,Non_Water,Wetland,Water
233,Water,NULL,Wetland,Water,Wetland,Water
234,Water,NULL,Water,NULL,Water,Water
235,Water,NULL,Water,Non_Water,Water,Water
236,Water,NULL,Water,Water,Water,Water
237,Water,NULL,Forest,NULL,Non_Wetland,Grassland
238,Water,NULL,Forest,NULL,Non_Wetland,Wetland
239,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
240,Water,Wetland,Wetland,Non_Water,Wetland,Grassland
241,Water,Wetland,Water,NULL,Water,Grassland
242,Water,Wetland,Forest,NULL,Non_Wetland,Grassland
243,Water,Wetland,Forest,NULL,Non_Wetland,Wetland
244,Water,Wetland,Forest,NULL,Non_Wetland,Forest
245,Water,Bareland,Shrubland,NULL,Non_Wetland,Forest
246,Water,Bareland,Cropland,NULL,Non_Wetland,Forest
247,Water,Bareland,Wetland,Non_Water,Wetland,Grassland
248,Water,Bareland,Wetland,Non_Water,Wetland,Forest
249,Water,Bareland,Wetland,Water,Wetland,Water
250,Water,Bareland,Water,Water,Water,Water
251,Water,Bareland,Water,Water,Water,Forest
252,Water,Bareland,Forest,NULL,Non_Wetland,Forest
253,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland
254,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest
255,Water,Built-up,Grassland,NULL,Non_Wetland,Forest
256,Water,Built-up,Wetland,NULL,Wetland,Water
257,Water,Built-up,Wetland,NULL,Wetland,Forest
258,Water,Built-up,Wetland,Non_Water,Wetland,Water
259,Water,Built-up,Wetland,Water,Wetland,Grassland
260,Water,Built-up,Wetland,Water,Wetland,Forest
261,Water,Built-up,Water,Non_Water,Water,Grassland
262,Water,Built-up,Water,Non_Water,Water,Water
263,Water,Built-up,Water,Non_Water,Water,Forest
264,Water,Built-up,Water,Water,Water,Water
265,Water,Built-up,Water,Water,Water,Forest
266,Water,Built-up,Forest,NULL,Non_Wetland,Forest
267,Water,Built-up,Forest,Water,Non_Wetland,Water
268,Water,Built-up,Forest,Water,Non_Wetland,Forest
269,Water,Water,NULL,NULL,Non_Wetland,Grassland
270,Water,Water,NULL,NULL,Non_Wetland,Water
271,Water,Water,NULL,NULL,Non_Wetland,Forest
272,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
273,Water,Water,Shrubland,NULL,Non_Wetland,Water
274,Water,Water,Shrubland,NULL,Non_Wetland,Forest
275,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
276,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
277,Water,Water,Shrubland,Water,Non_Wetland,Grassland
278,Water,Water,Shrubland,Water,Non_Wetland,Water
279,Water,Water,Shrubland,Water,Non_Wetland,Forest
280,Water,Water,Grassland,NULL,Non_Wetland,Water
281,Water,Water,Grassland,NULL,Non_Wetland,Forest
282,Water,Water,Cropland,NULL,Non_Wetland,Water
283,Water,Water,Cropland,NULL,Non_Wetland,Forest
284,Water,Water,Wetland,NULL,Wetland,Grassland
285,Water,Water,Wetland,NULL,Wetland,Wetland
286,Water,Water,Wetland,NULL,Wetland,Water
287,Water,Water,Wetland,NULL,Wetland,Forest
288,Water,Water,Wetland,Non_Water,Wetland,Water
289,Water,Water,Wetland,Non_Water,Wetland,Forest
290,Water,Water,Wetland,Water,Wetland,Grassland
291,Water,Water,Wetland,Water,Wetland,Bareland
292,Water,Water,Wetland,Water,Wetland,Water
293,Water,Water,Wetland,Water,Wetland,Forest
294,Water,Water,Bareland,NULL,Non_Wetland,Water
295,Water,Water,Bareland,NULL,Non_Wetland,Forest
296,Water,Water,Bareland,Water,Non_Wetland,Water
