Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Water
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
20,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
21,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Water
22,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
26,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
