Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LVR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,Forest
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
35,NULL,NULL,Cropland,NULL,Non_Wetland,Water
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
43,NULL,NULL,Cropland,Water,Non_Wetland,Water
44,NULL,NULL,Wetland,NULL,Wetland,Water
45,NULL,NULL,Wetland,NULL,Wetland,Forest
46,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
47,NULL,NULL,Wetland,Non_Water,Wetland,Water
48,NULL,NULL,Wetland,Non_Water,Wetland,Forest
49,NULL,NULL,Wetland,Water,Wetland,Grassland
50,NULL,NULL,Wetland,Water,Wetland,Bareland
51,NULL,NULL,Wetland,Water,Wetland,Water
52,NULL,NULL,Wetland,Water,Wetland,Forest
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
57,NULL,NULL,Bareland,NULL,Non_Wetland,Water
58,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
63,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
64,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
65,NULL,NULL,Bareland,Water,Non_Wetland,Water
66,NULL,NULL,Bareland,Water,Non_Wetland,Forest
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
70,NULL,NULL,Water,NULL,Water,Grassland
71,NULL,NULL,Water,NULL,Water,Bareland
72,NULL,NULL,Water,NULL,Water,Water
73,NULL,NULL,Water,Non_Water,Water,Grassland
74,NULL,NULL,Water,Non_Water,Water,Bareland
75,NULL,NULL,Water,Non_Water,Water,Water
76,NULL,NULL,Water,Water,Water,Grassland
77,NULL,NULL,Water,Water,Water,Bareland
78,NULL,NULL,Water,Water,Water,Water
79,NULL,NULL,Water,Water,Water,Forest
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
82,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
83,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
84,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
85,NULL,NULL,Forest,NULL,Non_Wetland,Water
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest
87,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
88,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
90,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
