Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_25MBP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_25MBP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MBP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_25MBP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
177,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
178,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
180,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
181,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
182,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
183,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
184,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
185,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
186,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
187,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Grassland
188,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
190,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
192,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Bareland
193,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
194,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Built-up,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
