Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LEH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
