Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
