Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
62,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
63,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
66,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
67,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
68,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
70,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
71,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
