Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
43,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
44,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
45,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Bareland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
79,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
81,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
83,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
84,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
85,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
86,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
87,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
89,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
90,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
91,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
92,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
93,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
94,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
95,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
97,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
98,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
