Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KPV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KPV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KPV_M_R
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
72,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
73,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
75,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
82,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
85,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
86,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
87,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
88,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
89,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
91,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
92,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
93,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
94,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
95,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
96,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
97,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
98,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
99,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
100,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
101,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
102,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
103,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
104,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
110,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
113,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Forest
114,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
115,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
117,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
118,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
123,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
124,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
125,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
126,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
127,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
128,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
129,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
130,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
131,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
132,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
133,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
134,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
135,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
145,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
147,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
148,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
150,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
151,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
152,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
153,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
154,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
155,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
156,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
157,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
158,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
159,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
160,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
161,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
162,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
163,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
164,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
165,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
166,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
167,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
168,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
169,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
170,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
171,NULL,NULL,Water,Water,Water,NULL,NULL,Water
172,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
173,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
176,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
177,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
180,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
182,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
184,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
185,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
186,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
187,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
188,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
189,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
191,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
192,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
193,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
194,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
195,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
196,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
198,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
206,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
207,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
208,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
209,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
211,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
212,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
214,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
219,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
223,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
226,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
228,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
229,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
230,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
231,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
234,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
235,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
236,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
237,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Cropland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
246,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
247,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
248,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
250,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
251,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
252,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
253,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
255,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
256,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
257,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
258,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
259,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
260,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
261,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
263,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
264,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
265,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
266,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
267,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
270,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
271,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
272,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
273,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
275,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
278,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
284,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
286,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
287,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
288,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
290,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
292,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
293,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
294,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
297,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
298,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
299,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
302,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
303,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
304,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
305,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
307,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
309,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
310,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
311,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
314,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
315,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
316,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
317,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
318,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
319,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
320,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
321,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
322,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
323,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
324,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
326,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
328,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
329,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
330,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
331,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
332,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
333,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
334,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
336,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
337,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
338,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
