Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Water
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Water
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
236,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Water
237,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Forest
238,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,NULL
241,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
243,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Forest
244,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
246,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
247,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
249,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
250,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
251,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
252,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
253,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
254,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
255,NULL,NULL,NULL,Water,Non_Wetland,Forest,Water,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
