Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
41,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
42,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
45,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
47,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
59,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
65,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
66,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
67,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
68,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
69,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
70,NULL,NULL,Water,Water,Water,NULL,NULL,Water
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
80,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
86,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
90,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
95,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
96,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
97,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
101,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
103,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
104,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
107,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
112,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
117,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
120,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
121,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
123,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
133,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
134,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
136,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
141,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
142,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
143,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
144,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
146,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
149,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
150,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
151,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
152,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
153,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
154,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
155,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
156,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
157,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
158,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
159,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
160,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
161,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
162,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
163,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
165,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
166,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
167,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
168,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
169,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
170,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
171,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
172,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
174,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
175,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
176,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
177,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
178,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
179,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
180,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
181,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
182,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
183,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
184,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
185,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
186,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
187,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
188,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
189,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
190,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
191,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
192,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
193,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
194,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
195,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
196,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
197,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
198,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
199,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
200,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
201,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
202,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
203,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
204,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
205,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
206,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
208,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
209,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
210,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
211,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
212,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
213,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
214,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
216,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
217,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
218,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
219,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
220,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
221,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
222,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
224,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
225,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
226,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
227,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
228,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
229,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
230,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
231,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
232,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
233,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
234,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
235,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
236,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
237,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
238,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
239,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
240,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
241,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
242,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
243,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
244,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
245,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
246,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
248,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
249,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
250,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
251,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
252,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
253,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
254,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
255,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
256,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
257,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
258,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
259,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
260,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
261,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
262,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
263,Cropland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
264,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
265,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
266,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
267,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
268,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
269,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
270,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
271,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
272,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
274,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
275,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
276,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
277,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
278,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
279,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
280,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
281,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
282,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
283,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
284,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
285,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
286,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
287,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
288,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
289,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
290,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
291,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
292,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
293,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
294,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
295,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
296,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
297,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
298,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
299,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
300,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
301,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
302,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
303,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
304,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
305,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
307,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
308,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
309,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
310,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
311,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
312,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
313,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
314,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
315,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
316,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
317,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
318,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
319,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
320,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
321,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
322,Bareland,NULL,Water,Water,Water,NULL,NULL,Forest
323,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
324,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
326,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
327,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
328,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
329,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
330,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
331,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
332,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
333,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
334,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
335,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
336,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
337,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
338,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
339,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
