Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
86,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Grassland
88,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
89,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
90,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
91,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
93,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
94,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
95,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
