Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUC_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
6,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
7,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
12,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
13,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
14,NULL,Water,Water,NULL,Water,NULL,NULL,Water
15,NULL,Water,Water,Water,Water,NULL,NULL,Water
16,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
20,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
21,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
22,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
23,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
24,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
25,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
26,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
27,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
28,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
