Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQC_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
72,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
73,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
74,NULL,NULL,Water,Water,Water,NULL,NULL,Water
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
84,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
87,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
90,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
92,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
103,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
109,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
111,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
114,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
120,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
122,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
124,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
126,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
127,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
129,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
130,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
131,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,NULL
132,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
133,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
134,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
137,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
145,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
146,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
147,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
151,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
154,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
155,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
156,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
157,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
158,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
162,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
178,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
179,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
180,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
182,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
184,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
188,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
189,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
193,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
196,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
200,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
202,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
206,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
208,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
210,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
211,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
213,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
222,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
223,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
224,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
225,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
226,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
231,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
232,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
233,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
234,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
235,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
236,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
237,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
238,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
239,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
244,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
245,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
246,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
248,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
249,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
250,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
251,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
253,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
254,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
255,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
256,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
257,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
258,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
260,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
262,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
263,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
265,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
266,Grassland,NULL,Water,NULL,Water,NULL,NULL,Cropland
267,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
268,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
269,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
271,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
272,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
274,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
275,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
276,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
277,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
279,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
281,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
282,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
283,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
284,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
285,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
286,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
287,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
288,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
290,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
291,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
292,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
293,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
294,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
295,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
297,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
298,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
299,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
300,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
301,Grassland,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
302,Grassland,Cropland,Water,NULL,Water,NULL,NULL,NULL
303,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
304,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
305,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Forest
306,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
307,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
308,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
309,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
310,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
311,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
312,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
313,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
314,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
315,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
316,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
317,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
318,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
320,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
322,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
323,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
324,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
326,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
327,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
328,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
329,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
330,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
331,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
332,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
333,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
334,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
