Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYS_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
70,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
71,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
72,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
73,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
74,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Forest
167,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
168,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
170,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
172,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
173,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
178,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
180,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
181,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Water
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
210,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Built-up
216,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Built-up
222,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
240,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
246,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Built-up
250,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
254,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
260,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
269,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
270,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
272,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
273,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
274,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
275,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
276,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
277,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
278,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
279,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
280,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
281,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
282,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
283,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
284,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
285,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
286,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
288,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
289,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
290,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Forest
291,NULL,NULL,Grassland,Water,Non_Wetland,Cropland,Grassland,Forest
292,NULL,NULL,Grassland,Water,Non_Wetland,Cropland,Wetland,Forest
293,NULL,NULL,Grassland,Water,Non_Wetland,Cropland,Water,Grassland
294,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
295,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Water
296,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
297,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Forest
298,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
299,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
300,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
301,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Forest
302,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
307,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
308,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
310,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
311,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
312,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
313,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
317,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
319,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
320,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
322,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
323,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
324,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
325,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
