Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PMQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PMQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PMQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PMQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PMQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PMQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Bareland
14,NULL,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
32,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
34,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
35,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
36,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
37,NULL,NULL,Shrubland,Water,Non_Wetland,Water
38,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Grassland,NULL,Non_Wetland,Water
46,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
54,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
55,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
56,NULL,NULL,Grassland,Water,Non_Wetland,Water
57,NULL,NULL,Grassland,Water,Non_Wetland,Forest
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
59,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
61,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
62,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
63,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
64,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
68,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
69,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
70,NULL,NULL,Cropland,Water,Non_Wetland,Forest
71,NULL,NULL,Wetland,NULL,Wetland,NULL
72,NULL,NULL,Wetland,NULL,Wetland,Grassland
73,NULL,NULL,Wetland,NULL,Wetland,Cropland
74,NULL,NULL,Wetland,NULL,Wetland,Wetland
75,NULL,NULL,Wetland,NULL,Wetland,Bareland
76,NULL,NULL,Wetland,NULL,Wetland,Built-up
77,NULL,NULL,Wetland,NULL,Wetland,Water
78,NULL,NULL,Wetland,NULL,Wetland,Forest
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL
80,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
81,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
82,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
83,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
84,NULL,NULL,Wetland,Non_Water,Wetland,Built-up
85,NULL,NULL,Wetland,Non_Water,Wetland,Water
86,NULL,NULL,Wetland,Non_Water,Wetland,Forest
87,NULL,NULL,Wetland,Water,Wetland,NULL
88,NULL,NULL,Wetland,Water,Wetland,Grassland
89,NULL,NULL,Wetland,Water,Wetland,Cropland
90,NULL,NULL,Wetland,Water,Wetland,Wetland
91,NULL,NULL,Wetland,Water,Wetland,Bareland
92,NULL,NULL,Wetland,Water,Wetland,Water
93,NULL,NULL,Wetland,Water,Wetland,Forest
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
95,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
96,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
97,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
98,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
99,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
100,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
104,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
105,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
106,NULL,NULL,Bareland,Water,Non_Wetland,Forest
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
108,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
113,NULL,NULL,Built-up,NULL,Non_Wetland,Water
114,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
