Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Water
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Water
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,NULL
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Wetland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Water
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
