Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KTG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KTG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KTG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Built-up
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Water
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
184,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
185,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
186,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
187,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
188,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
191,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
192,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
