Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Built-up
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
294,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
295,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
298,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
299,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
309,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
311,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
312,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
314,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
315,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
316,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
317,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
318,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
320,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
322,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
323,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
325,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
326,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
328,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
329,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
