Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
89,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
