Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Water
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
16,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Water
17,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
22,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
23,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
26,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
