Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
28,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
29,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
30,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
31,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
32,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
33,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
34,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
40,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
41,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
42,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
43,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
44,NULL,NULL,Water,Water,Water,NULL,NULL,Water
45,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
46,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
