Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
98,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
99,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
101,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
