Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
19,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
22,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
23,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
24,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
25,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
26,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
27,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
28,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
29,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
30,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
