Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
