Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KNE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KNE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KNE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KNE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KNE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KNE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KNE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KNE_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
60,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
62,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
64,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
65,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
66,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
70,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
82,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
83,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
91,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
98,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
99,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
100,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
101,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
102,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
103,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
104,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
105,NULL,NULL,Water,Water,Water,NULL,NULL,Water
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
115,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
118,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
119,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
121,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
124,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
135,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
142,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
144,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
146,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
147,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
151,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
152,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
155,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
157,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
158,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
159,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
160,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
162,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
163,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
164,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
165,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
166,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
167,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
168,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
169,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
171,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
173,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
174,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
175,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
178,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
179,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
180,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
187,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
188,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
189,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
192,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
193,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
198,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
200,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
201,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
205,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
206,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
207,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
208,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
209,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
210,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
211,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
213,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
215,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
217,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
219,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
226,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
234,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
235,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
239,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
247,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
248,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
249,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
251,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
252,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
254,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
255,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
256,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
257,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
258,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
259,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
261,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
263,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
266,NULL,Built-up,Water,NULL,Water,NULL,NULL,Cropland
267,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
268,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
269,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
270,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
272,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
276,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
277,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
278,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
279,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
280,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
281,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
283,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
284,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
285,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
286,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
287,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
288,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
289,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
290,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
291,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
292,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
293,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
294,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
297,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
298,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
299,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
301,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
303,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
304,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
305,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
306,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
307,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
309,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
310,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
311,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
313,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
315,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
316,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
317,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
318,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
319,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
320,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
321,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
322,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
323,NULL,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
324,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
325,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
328,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
330,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
331,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
332,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
333,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
334,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
335,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
