Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
