Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
78,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
82,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
83,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
95,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
98,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
111,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
115,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
116,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
117,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
118,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
119,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
120,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
121,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
122,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
123,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
124,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
125,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
126,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
127,NULL,NULL,Water,Water,Water,NULL,NULL,Water
128,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
140,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
141,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
143,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
144,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
146,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
157,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
166,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
170,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
175,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
176,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
192,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
193,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
194,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
197,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
201,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
202,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
203,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
207,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
209,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
211,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
212,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
214,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
217,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
220,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
223,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
226,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
229,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
231,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
232,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
234,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
236,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
237,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
239,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
240,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
243,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
244,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
245,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
246,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
247,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
249,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
252,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
254,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
261,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
262,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
263,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
264,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
265,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
266,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
267,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
268,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
269,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
271,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
273,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
274,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
275,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
278,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
279,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
281,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
282,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
284,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
286,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
287,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
289,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
290,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
291,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
293,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
294,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
297,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
298,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
299,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
302,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
304,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
305,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
306,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
307,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
309,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
310,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
311,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
312,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
314,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
315,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
317,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
318,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
321,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
322,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
323,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
324,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
325,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
327,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
328,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
329,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
330,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
332,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
333,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
334,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
