Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KMG_M_R
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
62,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
69,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
70,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
73,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
80,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
84,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
85,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
86,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
87,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
88,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
89,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
90,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
91,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
92,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
93,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
94,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
95,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
96,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
97,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
98,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
99,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
100,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
101,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
102,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
103,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
104,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
105,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
106,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
107,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
108,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
109,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
110,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
112,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
115,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
119,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
120,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
123,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
124,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
125,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
126,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
127,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
128,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
130,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
131,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
132,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
133,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
135,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
137,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
138,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
141,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
142,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
143,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
144,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
147,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
148,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
149,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
150,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
151,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
152,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
153,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
154,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
155,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
156,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
157,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
158,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
159,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
160,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
161,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
162,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
163,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
164,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
165,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
166,NULL,NULL,Water,Water,Water,NULL,NULL,Water
167,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
168,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
172,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
175,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
177,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
179,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
181,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
182,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
184,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
186,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
187,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
188,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
189,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
190,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
193,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
194,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
196,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
198,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
200,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
201,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
204,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
205,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
206,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
207,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
208,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
209,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
211,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
212,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
213,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
214,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
215,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
217,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
219,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
220,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
221,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
222,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
223,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
225,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
226,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
227,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
230,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
231,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
232,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
233,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
234,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
235,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
236,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
238,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
239,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
240,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
241,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
242,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
244,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
245,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
246,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
247,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
248,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
250,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
251,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
252,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
254,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
256,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
257,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
258,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
259,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
260,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,NULL
261,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
263,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
264,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
266,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
267,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
268,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
269,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
270,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
271,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
272,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
273,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
274,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
275,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
276,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
277,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
278,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
279,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
280,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
281,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
282,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
283,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
284,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
285,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
286,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
287,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
288,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
290,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
291,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
292,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
293,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
294,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
298,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
299,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
301,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
302,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
303,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
304,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
307,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
308,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
309,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
310,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
313,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
314,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
315,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Water
316,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
317,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
318,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
319,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
320,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
321,NULL,Cropland,Water,NULL,Water,NULL,NULL,Built-up
322,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
323,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
324,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,NULL
325,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
326,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
327,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
328,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
329,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
330,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
331,NULL,Cropland,Water,Water,Water,NULL,NULL,Cropland
332,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
333,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
334,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
335,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
336,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
338,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
339,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
340,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
