Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Forest
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Water,Non_Wetland,Water
13,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
21,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
22,NULL,NULL,Grassland,Water,Non_Wetland,Forest
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
30,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
31,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
32,NULL,NULL,Cropland,Water,Non_Wetland,Water
33,NULL,NULL,Cropland,Water,Non_Wetland,Forest
34,NULL,NULL,Wetland,NULL,Wetland,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,Forest
36,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
37,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
38,NULL,NULL,Wetland,Non_Water,Wetland,Water
39,NULL,NULL,Wetland,Non_Water,Wetland,Forest
40,NULL,NULL,Wetland,Water,Wetland,Grassland
41,NULL,NULL,Wetland,Water,Wetland,Wetland
42,NULL,NULL,Wetland,Water,Wetland,Bareland
43,NULL,NULL,Wetland,Water,Wetland,Water
44,NULL,NULL,Wetland,Water,Wetland,Forest
45,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
46,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
48,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
49,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
51,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
53,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
54,NULL,NULL,Bareland,Water,Non_Wetland,Water
55,NULL,NULL,Bareland,Water,Non_Wetland,Forest
56,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
59,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
60,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
61,NULL,NULL,Water,NULL,Water,Bareland
62,NULL,NULL,Water,NULL,Water,Water
63,NULL,NULL,Water,NULL,Water,Forest
64,NULL,NULL,Water,Non_Water,Water,Grassland
65,NULL,NULL,Water,Non_Water,Water,Water
66,NULL,NULL,Water,Water,Water,Grassland
67,NULL,NULL,Water,Water,Water,Water
68,NULL,NULL,Water,Water,Water,Forest
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL
70,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
71,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
72,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
73,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
74,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
75,NULL,NULL,Forest,NULL,Non_Wetland,Water
76,NULL,NULL,Forest,NULL,Non_Wetland,Forest
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
79,NULL,NULL,Forest,Water,Non_Wetland,Grassland
80,NULL,NULL,Forest,Water,Non_Wetland,Bareland
81,NULL,NULL,Forest,Water,Non_Wetland,Built-up
82,NULL,NULL,Forest,Water,Non_Wetland,Water
83,NULL,NULL,Forest,Water,Non_Wetland,Forest
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
89,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
90,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
91,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
92,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
97,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
104,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
105,NULL,Cropland,Wetland,NULL,Wetland,Grassland
106,NULL,Cropland,Wetland,NULL,Wetland,Forest
107,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
108,NULL,Cropland,Wetland,Water,Wetland,Water
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
113,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
114,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
116,NULL,Cropland,Water,NULL,Water,Grassland
117,NULL,Cropland,Water,Water,Water,Water
118,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
119,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
121,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
122,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
124,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
125,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
126,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
127,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
128,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
129,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
130,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
131,NULL,Cropland,Forest,Water,Non_Wetland,Water
132,NULL,Cropland,Forest,Water,Non_Wetland,Forest
133,NULL,Wetland,Wetland,NULL,Wetland,Grassland
134,NULL,Wetland,Wetland,NULL,Wetland,Forest
135,NULL,Wetland,Wetland,Water,Wetland,Grassland
136,NULL,Wetland,Wetland,Water,Wetland,Wetland
137,NULL,Wetland,Wetland,Water,Wetland,Water
138,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
139,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
140,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
141,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
142,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
143,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
144,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
145,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
147,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
148,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
149,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
150,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
151,NULL,Bareland,Wetland,Non_Water,Wetland,Water
152,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
153,NULL,Bareland,Wetland,Water,Wetland,Water
154,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
155,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
156,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
157,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
158,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
159,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
160,NULL,Bareland,Bareland,Water,Non_Wetland,Water
161,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
162,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
163,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
164,NULL,Bareland,Water,NULL,Water,Forest
165,NULL,Bareland,Water,Water,Water,Bareland
166,NULL,Bareland,Water,Water,Water,Water
167,NULL,Bareland,Water,Water,Water,Forest
168,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
169,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
170,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
171,NULL,Bareland,Forest,NULL,Non_Wetland,Water
172,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
173,NULL,Bareland,Forest,Water,Non_Wetland,Water
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
180,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
181,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
182,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
183,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
184,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
185,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
186,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
187,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
188,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
189,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
192,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
193,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
194,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
195,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
196,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
197,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
198,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
199,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
200,NULL,Built-up,Grassland,Water,Non_Wetland,Water
201,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
202,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
204,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
205,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
206,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
207,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
208,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
209,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
210,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
211,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
212,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
213,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
214,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
215,NULL,Built-up,Cropland,Water,Non_Wetland,Water
216,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
217,NULL,Built-up,Wetland,NULL,Wetland,Grassland
218,NULL,Built-up,Wetland,NULL,Wetland,Bareland
219,NULL,Built-up,Wetland,NULL,Wetland,Built-up
220,NULL,Built-up,Wetland,NULL,Wetland,Water
221,NULL,Built-up,Wetland,NULL,Wetland,Forest
222,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
223,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
224,NULL,Built-up,Wetland,Water,Wetland,Grassland
225,NULL,Built-up,Wetland,Water,Wetland,Bareland
226,NULL,Built-up,Wetland,Water,Wetland,Built-up
227,NULL,Built-up,Wetland,Water,Wetland,Water
228,NULL,Built-up,Wetland,Water,Wetland,Forest
229,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
230,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
231,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
232,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
233,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
234,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
235,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
236,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
237,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
238,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
239,NULL,Built-up,Bareland,Water,Non_Wetland,Water
240,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
245,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
246,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
247,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
248,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
249,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
250,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
251,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
252,NULL,Built-up,Built-up,Water,Non_Wetland,Water
253,NULL,Built-up,Water,NULL,Water,Built-up
254,NULL,Built-up,Water,NULL,Water,Forest
255,NULL,Built-up,Water,Water,Water,Grassland
256,NULL,Built-up,Water,Water,Water,Bareland
257,NULL,Built-up,Water,Water,Water,Built-up
258,NULL,Built-up,Water,Water,Water,Water
259,NULL,Built-up,Water,Water,Water,Forest
260,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
261,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
262,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
263,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
264,NULL,Built-up,Forest,NULL,Non_Wetland,Water
265,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
266,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
267,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
268,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
269,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
270,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
271,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
272,NULL,Built-up,Forest,Water,Non_Wetland,Water
273,NULL,Built-up,Forest,Water,Non_Wetland,Forest
274,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
275,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
276,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
277,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
278,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
279,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
280,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
281,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
282,NULL,Water,Shrubland,Water,Non_Wetland,Water
283,NULL,Water,Shrubland,Water,Non_Wetland,Forest
284,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
285,NULL,Water,Grassland,NULL,Non_Wetland,Forest
286,NULL,Water,Grassland,Water,Non_Wetland,Grassland
287,NULL,Water,Grassland,Water,Non_Wetland,Water
288,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
289,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
290,NULL,Water,Cropland,NULL,Non_Wetland,Water
291,NULL,Water,Cropland,NULL,Non_Wetland,Forest
