Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
