Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNJ_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
25,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
26,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
28,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
29,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
31,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
32,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
33,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
35,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
36,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
37,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
41,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
42,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
43,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
44,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
45,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
46,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
47,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
48,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
49,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
53,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Bareland
55,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
56,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
57,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
58,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
59,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
60,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
61,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
63,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
64,NULL,Wetland,Water,NULL,Water,Water,Water,Water
65,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
67,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
68,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
75,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
76,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Bareland,Bareland
77,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
80,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
81,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
83,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
84,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
85,NULL,Built-up,Wetland,Water,Wetland,Grassland,Bareland,Forest
86,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Bareland
87,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Water
88,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
90,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
91,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
93,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
94,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
95,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
97,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
98,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
100,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
101,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
102,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
103,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
104,NULL,Water,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
105,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
106,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
107,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
108,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
109,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
110,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Forest
111,NULL,Water,Water,NULL,Water,Bareland,Bareland,Grassland
112,NULL,Water,Water,Water,Water,Grassland,Wetland,Forest
113,NULL,Water,Water,Water,Water,Grassland,Bareland,Water
114,NULL,Water,Water,Water,Water,Bareland,Bareland,Bareland
115,NULL,Water,Water,Water,Water,Water,Water,Water
116,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
117,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
118,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
119,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
120,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
121,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
122,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
123,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Bareland
124,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
125,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
126,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
127,NULL,Water,Forest,Water,Non_Wetland,Grassland,Bareland,Bareland
128,NULL,Water,Forest,Water,Non_Wetland,Grassland,Water,Forest
129,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
131,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
132,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
133,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
134,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
135,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
136,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
137,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
138,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Bareland,Bareland
139,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
140,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
141,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
142,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
143,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
144,NULL,Forest,Wetland,NULL,Wetland,Forest,Water,Forest
145,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
146,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
147,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
148,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
149,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
150,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
151,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
152,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
153,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
154,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
