Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
75,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
77,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
79,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
80,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
82,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
85,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
93,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
96,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
