Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Forest
38,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
39,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
41,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
42,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
43,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Water
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
69,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
70,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
71,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
72,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
85,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
88,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
91,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
92,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
94,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
95,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Water
96,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
97,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
98,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
99,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
100,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
102,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
103,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
104,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
106,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
107,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
109,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
110,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
112,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
113,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
115,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
116,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
117,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
118,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
119,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
121,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Forest
122,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
123,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
124,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
125,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
126,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
128,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
129,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
131,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
132,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
133,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
134,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
135,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
136,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
137,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
138,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
