Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGG_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
67,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
68,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
69,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
70,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
71,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
72,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
73,NULL,NULL,Water,Water,Water,NULL,NULL,Water
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
85,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
96,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
97,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
98,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
99,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
113,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
118,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
122,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
123,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
131,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
132,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
138,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
143,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
144,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
147,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
148,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
149,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
150,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
151,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
152,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
155,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
157,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
160,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
163,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
165,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
166,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
170,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
173,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
178,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
179,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
180,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
181,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
183,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
184,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
185,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
186,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
187,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
188,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
189,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
190,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
191,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
192,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
193,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
194,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
195,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
196,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
197,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
198,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
199,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
200,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
201,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
202,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
204,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
205,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
206,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
207,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
208,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
209,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
210,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
211,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
212,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
213,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
214,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
216,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
217,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
218,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
219,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
220,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
221,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
222,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
223,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
225,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
226,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
227,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
230,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
231,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
232,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
233,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
234,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
235,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
236,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
237,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
238,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
239,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
240,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
241,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
242,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
243,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
244,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
245,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
246,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
247,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
249,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
250,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
251,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
252,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
253,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
255,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
256,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
257,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
258,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
259,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
260,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
261,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
262,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
263,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
264,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
265,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
267,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
268,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
269,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
270,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
272,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
273,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
274,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
275,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
276,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
277,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
278,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
279,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
281,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
282,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
284,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
286,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
287,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
288,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
290,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
291,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
292,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
293,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
294,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
295,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
296,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
297,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
298,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
299,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
300,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
301,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
303,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
304,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
305,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
306,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
307,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
308,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
309,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
310,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
311,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
312,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
313,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
314,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
315,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
316,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
317,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
318,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
319,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
320,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
321,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
322,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
323,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
324,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
325,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
326,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
327,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
328,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
329,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
330,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
331,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
332,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
333,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
334,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
335,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
336,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
337,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
338,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
