Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
5,NULL,NULL,NULL,Water,Non_Wetland,Wetland
6,NULL,NULL,NULL,Water,Non_Wetland,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
30,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
31,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
32,NULL,NULL,Grassland,Water,Non_Wetland,Water
33,NULL,NULL,Grassland,Water,Non_Wetland,Forest
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Water
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,Water
43,NULL,NULL,Wetland,NULL,Wetland,NULL
44,NULL,NULL,Wetland,NULL,Wetland,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,Wetland
46,NULL,NULL,Wetland,NULL,Wetland,Forest
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL
48,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
49,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
50,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
51,NULL,NULL,Wetland,Non_Water,Wetland,Water
52,NULL,NULL,Wetland,Non_Water,Wetland,Forest
53,NULL,NULL,Wetland,Water,Wetland,Grassland
54,NULL,NULL,Wetland,Water,Wetland,Cropland
55,NULL,NULL,Wetland,Water,Wetland,Wetland
56,NULL,NULL,Wetland,Water,Wetland,Bareland
57,NULL,NULL,Wetland,Water,Wetland,Water
58,NULL,NULL,Wetland,Water,Wetland,Forest
59,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
66,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
67,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
68,NULL,NULL,Bareland,Water,Non_Wetland,Water
69,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
72,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Built-up,Water,Non_Wetland,Water
74,NULL,NULL,Water,NULL,Water,Grassland
75,NULL,NULL,Water,NULL,Water,Water
76,NULL,NULL,Water,Non_Water,Water,Grassland
