Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
