Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
285,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
294,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
296,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
297,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
298,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
300,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
307,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
308,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
309,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
311,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Cropland
313,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
314,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
315,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
316,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
317,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
319,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
320,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
321,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
322,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
323,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Cropland
324,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Grassland
325,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
326,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
328,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,NULL
329,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,NULL
330,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
331,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
332,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
