Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
