Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LYN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
31,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
32,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
33,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
35,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
36,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
39,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
